0	1193	 8000	999	333	
1	1386	 8000	999	333	
2	1579	 8000	999	333	
3	1772	 8000	999	333	
4	1965	 8000	999	333	
5	2158	 8000	999	333	
6	2351	 8000	999	333	
7	2544	 8000	999	333	
8	2737	 8000	999	333	
9	2930	 8000	999	333	
10	2254	 8250	999	333	
11	2508	 8250	999	333	
12	2579	 8250	999	333	
13	2650	 8250	999	333	
14	2721	 8250	999	333	
15	2792	 8250	999	333	
16	2863	 8250	999	333	
17	2934	 8250	999	333	
18	3005	 8250	999	333	
19	3076	 8250	999	333	
20	3147	 8250	999	333	
21	3218	 8250	999	333	
22	3289	 8250	999	333	
23	3360	 8250	999	333	
24	3431	 8250	999	333	
25	3502	 8250	999	333	
26	3695	 8250	999	333	
27	3888	 8250	999	333	
28	4081	 8250	999	333	
29	4274	 8250	999	333	
30	4467	 8250	999	333	
31	4660	 8250	999	333	
32	4853	 8250	999	333	
33	5046	 8250	999	333	
34	5239	 8250	999	333	
35	5432	 8250	999	333	
36	5625	 8250	999	333	
37	5818	 8250	999	333	
38	6011	 8250	999	333	
39	6204	 8250	999	333	
40	6397	 8250	999	333	
41	6590	 8250	999	333	
42	1071	 8000	999	333	
43	943	 8100	999	333	
44	1136	 8100	999	333	
45	1193	 8000	999	333	
46	1386	 8000	999	333	
47	1579	 8000	999	333	
48	6693	 8000	999	333	
49	6886	 8000	999	333	
50	7079	 8000	999	333	
51	7272	 8000	999	333	
52	6693	 7850	999	333	
53	6886	 7850	999	333	
54	7079	 7850	999	333	
55	7272	 7850	999	333	
56	1222	 11000	-999	333	
57	1444	 11000	-999	333	
58	1666	 11000	-999	333	
59	1888	 11000	-999	333	
60	2110	 11000	-999	333	
61	2332	 11000	-999	333	
62	2554	 11000	-999	333	
63	2776	 11000	-999	333	
64	2998	 11000	-999	333	
65	3220	 11000	-999	333	
66	3442	 11000	-999	333	
67	3664	 11000	-999	333	
68	3886	 11000	-999	333	
69	4108	 11000	-999	333	
70	4330	 11000	-999	333	
71	4552	 11000	-999	333	
72	4774	 11000	-999	333	
73	4996	 11000	-999	333	
74	5218	 11000	-999	333	
75	5440	 11000	-999	333	
76	5662	 11000	-999	333	
77	5884	 11000	-999	333	
78	6106	 11000	-999	333	
79	6328	 11000	-999	333	
80	6550	 11000	-999	333	
81	6772	 11000	-999	333	
82	6994	 11000	-999	333	
83	7216	 11000	-999	333	
84	7438	 11000	-999	333	
85	7660	 11000	-999	333	
86	7882	 11000	-999	333	
87	8104	 11000	-999	333	
88	8326	 11000	-999	333	
89	8548	 11000	-999	333	
90	8770	 11000	-999	333	
91	1693	 11500	-999	333	
92	1886	 11500	-999	333	
93	2079	 11500	-999	333	
94	2272	 11500	-999	333	
95	2465	 11500	-999	333	
96	2658	 11500	-999	333	
97	2851	 11500	-999	333	
98	1693	 11500	-999	333	
99	1886	 11500	-999	333	
100	2079	 11500	-999	333	
101	2272	 11500	-999	333	
102	2465	 11500	-999	333	
103	2658	 11500	-999	333	
104	2851	 11500	-999	333	
105	3044	 11500	-999	333	
106	3237	 11500	-999	333	
107	3430	 11500	-999	333	
108	2660	 12000	-999	333	
109	2820	 12000	-999	333	
110	2980	 12000	-999	333	
111	3140	 12000	-999	333	
112	3300	 12000	-999	333	
113	3460	 12000	-999	333	
114	3620	 12000	-999	333	
115	3780	 12000	-999	333	
116	3940	 12000	-999	333	
0	1388	 8195	999	333	
1	1509	 8123	999	333	
2	1664	 8085	999	333	
3	1601	 8171	999	333	
4	2039	 8074	999	333	
5	2330	 8172	999	333	
6	2484	 8133	999	333	
7	2544	 8103	999	333	
